date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:46:34	101/101	---M--	200	added ('OK')	text/plain	date:Thu,%2001%20Dec%202022%2006:47:01%20GMT	http://10.250.102.232:8090/robots.txt		(from )
14:46:35	34501/34501	---MC-	200	added ('OK')	text/html	date:Thu,%2001%20Dec%202022%2006:47:01%20GMT	http://10.250.102.232:8090/	C:/Users/31464/Desktop/HaloV2.0.1/12138/10.250.102.232_8090/index.html	(from )
14:46:35	118306/118306	---M--	200	added ('OK')	text/css	date:Thu,%2024%20Nov%202022%2010:41:26%20GMT	http://10.250.102.232:8090/themes/LIlGG_Sakura/styles/style.min.css?ver=1.3.4	C:/Users/31464/Desktop/HaloV2.0.1/12138/10.250.102.232_8090/themes/LIlGG_Sakura/styles/style.minc412.css	(from http://10.250.102.232:8090/)
14:46:37	1903/1903	---MCZ	200	added ('OK')	text/css	etag:W/%224BD095B340257F2AB3A6AA51C47806AC%22	http://at.alicdn.com/t/font_2010950_sh9o0r7ahar.css	C:/Users/31464/Desktop/HaloV2.0.1/12138/at.alicdn.com/t/font_2010950_sh9o0r7ahar.css	(from http://10.250.102.232:8090/)
14:46:38	67025/67025	---MCZ	200	added ('OK')	text/css	date:Thu,%2001%20Dec%202022%2005:57:44%20GMT	https://takagi-api.com/file/1/halo-theme-sakura/1.3.4/source/css/lib.css	C:/Users/31464/Desktop/HaloV2.0.1/12138/takagi-api.com/file/1/halo-theme-sakura/1.3.4/source/css/lib.css	(from http://10.250.102.232:8090/)
14:46:39	677/677	---MCZ	200	added ('OK')	text/css	date:Thu,%2001%20Dec%202022%2006:25:43%20GMT	https://takagi-api.com/file/1/halo-theme-sakura/1.3.4/source/css/highlight/highlight-Dracula.css	C:/Users/31464/Desktop/HaloV2.0.1/12138/takagi-api.com/file/1/halo-theme-sakura/1.3.4/source/css/highlight/highlight-Dracula.css	(from http://10.250.102.232:8090/)
14:46:39	12484/12484	---MCZ	200	added ('OK')	text/css	date:Thu,%2001%20Dec%202022%2005:20:39%20GMT	https://takagi-api.com/file/1/halo-theme-sakura/1.3.4/source/lib/APlayer/APlayer.min.css	C:/Users/31464/Desktop/HaloV2.0.1/12138/takagi-api.com/file/1/halo-theme-sakura/1.3.4/source/lib/APlayer/APlayer.min.css	(from http://10.250.102.232:8090/)
14:46:40	680/680	---MCZ	200	added ('OK')	text/css	date:Thu,%2001%20Dec%202022%2004:57:35%20GMT	https://takagi-api.com/file/1/halo-theme-sakura/1.3.4/source/lib/jqcloud2/jqcloud.min.css	C:/Users/31464/Desktop/HaloV2.0.1/12138/takagi-api.com/file/1/halo-theme-sakura/1.3.4/source/lib/jqcloud2/jqcloud.min.css	(from http://10.250.102.232:8090/)
14:46:40	22476/22476	---MCZ	200	added ('OK')	text/css	etag:%2257cc-nBnGIDeAVkv0RmIpg5Ebn8k4aNg%22	https://unpkg.com/katex@0.12.0/dist/katex.min.css	C:/Users/31464/Desktop/HaloV2.0.1/12138/unpkg.com/katex@0.12.0/dist/katex.min.css	(from http://10.250.102.232:8090/)
14:46:41	871/871	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Dec%202022%2005:33:10%20GMT	https://takagi-api.com/file/1/halo-theme-sakura/1.3.4/source/images/play@32x32.png	C:/Users/31464/Desktop/HaloV2.0.1/12138/takagi-api.com/file/1/halo-theme-sakura/1.3.4/source/images/play@32x32.png	(from http://10.250.102.232:8090/)
14:46:41	1297/1297	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Dec%202022%2006:00:39%20GMT	https://takagi-api.com/file/1/halo-theme-sakura/1.3.4/source/images/sns/qq.png	C:/Users/31464/Desktop/HaloV2.0.1/12138/takagi-api.com/file/1/halo-theme-sakura/1.3.4/source/images/sns/qq.png	(from http://10.250.102.232:8090/)
